cancionid,difusora,categoria,categoriaid,idmedia,catidmedia,idusuario1,idusuario2,titulo,interprete,interprete 2,interprete 3,interprete 4,sello,duracion,version,lenguaje,año,bpm,tiempo entrada,tiempo salida,archivo,album,autor,genero musical,energia,tiempo,humor,idusuario3,idusuario4,idusuario5
21,XHDQ,Pop,101,1021,201,10101,10102,Wonderwall,Oasis,,,,"Creation Records",258,Original,Inglés,1995,76,00:00:00,00:04:18,wonderwall.mp3,(What's the Story) Morning Glory?,Noel Gallagher,Britpop,7,Medio,Melancólico,10103,10104,10105
22,XRAD,Rock,102,1022,202,10106,10107,November Rain,Guns N' Roses,,,,"Geffen Records",537,Original,Inglés,1991,60,00:00:00,00:08:57,november_rain.mp3,Use Your Illusion I,Axl Rose,Rock,6,Medio,Melancólico,10108,10109,10110
23,XHPER,Pop,101,1023,201,10111,10112,Californication,Red Hot Chili Peppers,,,,"Warner Bros",329,Original,Inglés,1999,120,00:00:00,00:05:29,californication.mp3,Californication,Anthony Kiedis,Alternative,7,Medio,Melancólico,10113,10114,10115
24,XHOZ,Jazz,104,1024,204,10116,10117,So What,Miles Davis,,,,"Columbia Records",320,Original,Inglés,1959,120,00:00:00,00:05:20,so_what.mp3,Kind of Blue,Miles Davis,Jazz,6,Medio,Sereno,10118,10119,10120
25,XHDQ,Pop,101,1025,201,10121,10122,Creep,Radiohead,,,,"Parlophone Records",238,Original,Inglés,1992,76,00:00:00,00:03:58,creep.mp3,Pablo Honey,Thom Yorke,Alternative,6,Medio,Melancólico,10123,10124,10125
26,XRAD,Rock,102,1026,202,10126,10127,Enter Sandman,Metallica,,,,"Elektra Records",331,Original,Inglés,1991,120,00:00:00,00:05:31,enter_sandman.mp3,Metallica,James Hetfield,Metal,9,Rápido,Agresivo,10128,10129,10130
27,XHPER,Pop,101,1027,201,10131,10132,Smells Like Teen Spirit,Nirvana,,,,"DGC Records",301,Original,Inglés,1991,117,00:00:00,00:05:01,smells_like_teen_spirit.mp3,Nevermind,Kurt Cobain,Grunge,9,Rápido,Agresivo,10133,10134,10135
28,XHOZ,Clásica,103,1028,203,10136,10137,Canon in D,Pachelbel,,,,"Deutsche Grammophon",324,Original,Alemán,1680,60,00:00:00,00:05:24,canon_in_d.mp3,Canon and Gigue,Pachelbel,Clásica,3,Lento,Sereno,10138,10139,10140
29,XHDQ,Pop,101,1029,201,10141,10142,Bohemian Rhapsody,Queen,,,,"EMI Records",355,Original,Inglés,1975,72,00:00:00,00:05:55,bohemian_rhapsody.mp3,A Night at the Opera,Freddie Mercury,Rock,8,Medio,Melancólico,10143,10144,10145
30,XRAD,Rock,102,1030,202,10146,10147,Hotel California,Eagles,,,,"Asylum Records",391,Original,Inglés,1976,76,00:00:00,00:06:31,hotel_california.mp3,Hotel California,Don Henley,Rock,7,Medio,Melancólico,10148,10149,10150
31,XHPER,Pop,101,1031,201,10151,10152,Billie Jean,Michael Jackson,,,,"Epic Records",294,Original,Inglés,1982,117,00:00:00,00:04:54,billie_jean.mp3,Thriller,Michael Jackson,Pop,9,Rápido,Alegre,10153,10154,10155
32,XHOZ,Jazz,104,1032,204,10156,10157,Take Five,Dave Brubeck,,,,"Columbia Records",324,Original,Inglés,1959,176,00:00:00,00:05:24,take_five.mp3,Time Out,Paul Desmond,Jazz,6,Medio,Sereno,10158,10159,10160
33,XHDQ,Pop,101,1033,201,10161,10162,Hey Jude,The Beatles,,,,"Apple Records",431,Original,Inglés,1968,70,00:00:00,00:07:11,hey_jude.mp3,The Beatles 1967-1970,Paul McCartney,Pop,8,Medio,Alegre,10163,10164,10165
34,XRAD,Rock,102,1034,202,10166,10167,Purple Rain,Prince,,,,"Warner Bros",518,Original,Inglés,1984,120,00:00:00,00:08:38,purple_rain.mp3,Purple Rain,Prince,Rock,9,Rápido,Melancólico,10168,10169,10170
35,XHPER,Pop,101,1035,201,10171,10172,Sweet Child O' Mine,Guns N' Roses,,,,"Geffen Records",356,Original,Inglés,1987,125,00:00:00,00:05:56,sweet_child_o_mine.mp3,Appetite for Destruction,Axl Rose,Rock,9,Rápido,Alegre,10173,10174,10175
36,XHOZ,Clásica,103,1036,203,10176,10177,Clair de Lune,Debussy,,,,"Deutsche Grammophon",299,Original,Francés,1905,66,00:00:00,00:04:59,clair_de_lune.mp3,Suite Bergamasque,Claude Debussy,Clásica,2,Lento,Sereno,10178,10179,10180
37,XHDQ,Pop,101,1037,201,10181,10182,Smells Like Teen Spirit,Nirvana,,,,"DGC Records",301,Original,Inglés,1991,117,00:00:00,00:05:01,smells_like_teen_spirit.mp3,Nevermind,Kurt Cobain,Grunge,9,Rápido,Agresivo,10183,10184,10185
38,XRAD,Rock,102,1038,202,10186,10187,Comfortably Numb,Pink Floyd,,,,"Harvest Records",384,Original,Inglés,1979,70,00:00:00,00:06:24,comfortably_numb.mp3,The Wall,Roger Waters,Rock,7,Medio,Melancólico,10188,10189,10190
39,XHPER,Pop,101,1039,201,10191,10192,One,Metallica,,,,"Elektra Records",448,Original,Inglés,1988,60,00:00:00,00:07:28,one.mp3,...And Justice for All,James Hetfield,Metal,8,Medio,Agresivo,10193,10194,10195
40,XHOZ,Jazz,104,1040,204,10196,10197,Blue in Green,Miles Davis,,,,"Columbia Records",337,Original,Inglés,1959,120,00:00:00,00:05:37,blue_in_green.mp3,Kind of Blue,Bill Evans,Jazz,4,Medio,Sereno,10198,10199,10200
41,XHDQ,Pop,101,1041,201,10201,10202,Don't Stop Believin',Journey,,,,"Columbia Records",251,Original,Inglés,1981,120,00:00:00,00:04:11,dont_stop_believin.mp3,Escape,Steve Perry,Pop,8,Rápido,Alegre,10203,10204,10205
42,XRAD,Rock,102,1042,202,10206,10207,Black,Perl Jam,,,,"Epic Records",343,Original,Inglés,1991,76,00:00:00,00:05:43,black.mp3,Ten,Eddie Vedder,Grunge,7,Medio,Melancólico,10208,10209,10210
43,XHPER,Pop,101,1043,201,10211,10212,Under the Bridge,Red Hot Chili Peppers,,,,"Warner Bros",264,Original,Inglés,1991,120,00:00:00,00:04:24,under_the_bridge.mp3,Blood Sugar Sex Magik,Anthony Kiedis,Alternative,6,Medio,Melancólico,10213,10214,10215
44,XHOZ,Clásica,103,1044,203,10216,10217,The Four Seasons - Spring,Vivaldi,,,,"Deutsche Grammophon",201,Original,Italiano,1725,140,00:00:00,00:03:21,four_seasons_spring.mp3,The Four Seasons,Antonio Vivaldi,Clásica,6,Medio,Alegre,10218,10219,10220
45,XHDQ,Pop,101,1045,201,10221,10222,Wonderwall,Oasis,,,,"Creation Records",258,Original,Inglés,1995,76,00:00:00,00:04:18,wonderwall.mp3,(What's the Story) Morning Glory?,Noel Gallagher,Britpop,7,Medio,Melancólico,10223,10224,10225
46,XRAD,Rock,102,1046,202,10226,10227,November Rain,Guns N' Roses,,,,"Geffen Records",537,Original,Inglés,1991,60,00:00:00,00:08:57,november_rain.mp3,Use Your Illusion I,Axl Rose,Rock,6,Medio,Melancólico,10228,10229,10230
47,XHPER,Pop,101,1047,201,10231,10232,Californication,Red Hot Chili Peppers,,,,"Warner Bros",329,Original,Inglés,1999,120,00:00:00,00:05:29,californication.mp3,Californication,Anthony Kiedis,Alternative,7,Medio,Melancólico,10233,10234,10235
48,XHOZ,Jazz,104,1048,204,10236,10237,So What,Miles Davis,,,,"Columbia Records",320,Original,Inglés,1959,120,00:00:00,00:05:20,so_what.mp3,Kind of Blue,Miles Davis,Jazz,6,Medio,Sereno,10238,10239,10240
49,XHDQ,Pop,101,1049,201,10241,10242,Creep,Radiohead,,,,"Parlophone Records",238,Original,Inglés,1992,76,00:00:00,00:03:58,creep.mp3,Pablo Honey,Thom Yorke,Alternative,6,Medio,Melancólico,10243,10244,10245
50,XRAD,Rock,102,1050,202,10246,10247,Enter Sandman,Metallica,,,,"Elektra Records",331,Original,Inglés,1991,120,00:00:00,00:05:31,enter_sandman.mp3,Metallica,James Hetfield,Metal,9,Rápido,Agresivo,10248,10249,10250
